类别,文件,ID,英文,中文
基础,achievements.xml,Win100Planets_Ingame_Gold,"1. Win on 100-Planet Map","1. 英雄"
基础,achievements.xml,TankBuster_Gold_Desc,"Win against The Tank on difficulty 9 or up.","在难度9或以上击败坦克。"
基础,achievements.xml,Win120Planets_Ingame_Gold,"1. Win on 120-Planet Map","1. 天神"
基础,achievements.xml,AreWeNotOnTheSameSide_Silver_Desc,"Win with the Human Marauders minor faction enabled on any difficulty.","在任何难度下启用太空海盗并取胜。"
基础,achievements.xml,CounterThis_Gold_Desc,"Win against Counter Spy on difficulty 9 or up.","在难度9或以上击败反间谍。"
基础,achievements.xml,IAmBadlyBurned_Silver_Desc,"Win against Scorched Earth on difficulty 7 or up.","在难度7或以上击败焦土者。"
基础,achievements.xml,TimeTenHours_Ingame_Bronze_Desc,"Reach a game time of ten hours in a single game.","在一次游戏中，进行游戏10小时。"
基础,achievements.xml,Energy50kExcess_Ingame_Bronze_Desc,"Accumulate a net energy balance of 50,000.","能量储备达到50,000以上。"
基础,achievements.xml,IAmBadlyBurned_Bronze,"4. I'm Badly Burned","4. 我着火了!"
基础,achievements.xml,IAmBadlyBurned_Bronze_Desc,"Win against Scorched Earth on any difficulty.","在任何难度下击败焦土者。"
基础,achievements.xml,Scrap10000_Ingame_Silver_Desc,"Scrap at least 10,000 of your ships in a single game.","在一次游戏中，废弃最少10,000个我方部队。"
基础,achievements.xml,Energy50kExcess_Ingame_Bronze,"1. Rainy Day Savings: 50,000 Energy","1. 应急储备"
基础,achievements.xml,Win100Planets_Ingame_Gold_Desc,"Win a game on a one hundred planet map.","在100个行星的星系地图上赢得一次游戏。"
基础,achievements.xml,Reclaim1K_Ingame_Bronze,"1. Reclamation: Ooh, Shiny!","1. 临战变节"
基础,achievements.xml,Full10Victory_Gold,"5. Godlike","5. 神级"
基础,achievements.xml,Control110Planets_Ingame_Gold,"5. Control 110","5. 皇帝"
基础,achievements.xml,BrokenSledge_Bronze_Desc,"Win against Sledge Hammer on any difficulty.","在任何难度下击败强力铁锤。"
基础,achievements.xml,Kill30K_Ingame_Bronze,"1. Kills: Warrior","1. 勇士"
基础,achievements.xml,Energy300kExcess_Ingame_Silver,"1. Turn Off The Lights! 300,000 Energy","1. 节能专家"
基础,achievements.xml,Lose75K_Ingame_Silver,"1. Losses: For The Greater Good","1. 苦战不退"
基础,achievements.xml,TrulyMad_Gold,"3. Truly Mad","3. 真正疯狂"
基础,achievements.xml,Control110Planets_Ingame_Gold_Desc,"Your team must control one hundred and ten non-home planets in a single game.","在一次游戏中，我军占领110个非母星行星。"
基础,achievements.xml,None,"None","没有"
基础,achievements.xml,PointsFiveHundredK_Ingame_Bronze_Desc,"Reach a score of five hundred thousand points in a single game.","在一次游戏中，达到500,000分。"
基础,achievements.xml,RaidFail_Silver,"3. Raid Fail","3. 突袭失败"
基础,achievements.xml,RaidFail_Bronze_Desc,"Win against Vicious Raider on any difficulty.","在任何难度下击败凶猛的侵略者。"
基础,achievements.xml,TurnOnTheLights_Silver_Desc,"Win against Shadow Master on difficulty 7 or up.","在难度7或以上击败幻影大师。"
基础,achievements.xml,CounterThis_Silver_Desc,"Win against Counter Spy on difficulty 7 or up.","在难度7或以上击败反间谍。"
基础,achievements.xml,FirstLoss,"1. First Loss","1. 暂时失利"
基础,achievements.xml,Lose30K_Ingame_Bronze_Desc,"Lose at least 30,000 ships in a single game.","在一次游戏中，损失最少30,000个部队。"
基础,achievements.xml,ElectricTurtleSoup_Bronze_Desc,"Win against Teleporter Turtle on any difficulty.","在任何难度下击败瞬移乌龟。"
基础,achievements.xml,ManDown_Bronze,"4. Man Down!","4. 目标已被歼灭"
基础,achievements.xml,TurnOnTheLights_Gold_Desc,"Win against Shadow Master on difficulty 9 or up.","在难度9或以上击败幻影大师。"
基础,achievements.xml,TankBuster_Silver_Desc,"Win against The Tank on difficulty 7 or up.","在难度7或以上击败坦克。"
基础,achievements.xml,CaughtInTheAct_Bronze_Desc,"Win against Backdoor Hacker on any difficulty.","在任何难度下击败后门的黑客。"
基础,achievements.xml,TimeTwentyFourHours_Ingame_Gold_Desc,"Reach a game time of twenty four hours in a single game.","在一次游戏中，进行游戏24小时。"
基础,achievements.xml,TurtleSoup_Gold,"2. Turtle Soup","2. 乌龟汤"
基础,achievements.xml,Detrencher_Bronze,"2. Detrencher","2. 直捣黄龙"
基础,achievements.xml,PickOnSomeoneElse_Bronze_Desc,"Win against Bully on any difficulty.","在任何难度下击败恶霸。"
基础,achievements.xml,First10Loss,"1. First Difficulty 10 Loss","1. 失败是成功之母"
基础,achievements.xml,Lose200K_Ingame_Gold_Desc,"Lose at least 200,000 ships in a single game.","在一次游戏中，损失最少200,000个部队。"
基础,achievements.xml,BrokenSledge_Silver,"2. Broken Sledge","2. 残破的铁锤"
基础,achievements.xml,TankBuster_Bronze_Desc,"Win against The Tank on any difficulty.","在任何难度下击败坦克。"
基础,achievements.xml,NotHungry_Bronze_Desc,"Win against Feeding Parasite on any difficulty.","在任何难度下击败吸血的寄生虫。"
基础,achievements.xml,BrokenLegs_Bronze,"3. Broken Legs","3. 断腿了"
基础,achievements.xml,TimeThirtySixHours_Ingame_Gold_Desc,"Reach a game time of thirty six hours in a single game.","在一次游戏中，进行游戏36小时。"
基础,achievements.xml,FortBuster_Gold_Desc,"Win against Fortress Baron on difficulty 9 or up.","在难度9或以上击败要塞男爵。"
基础,achievements.xml,FirstDouble10Victory_Gold,"5. Double Paragon","5. 超模范级"
基础,achievements.xml,TechnoDancer_Bronze_Desc,"Win against Technologist Raider on any difficulty.","在任何难度下击败侵略专家。"
基础,achievements.xml,TrainWreck_Gold_Desc,"Win against Train Master on difficulty 9 or up.","在难度9或以上击败列车大师。"
基础,achievements.xml,TurtleSoup_Bronze_Desc,"Win against Turtle on any difficulty.","在任何难度下击败乌龟。"
基础,achievements.xml,PeeledAndRoasted_Bronze_Desc,"Win against The Core on any difficulty.","在任何难度下击败核心。"
基础,achievements.xml,UltimateLeech_Bronze,"4. Ultimate Leech","4. 终极水蛭"
基础,achievements.xml,Reclaim5K_Ingame_Silver_Desc,"Reclaim at least 5,000 enemy ships in a single game.","在一次游戏中，操控最少5,000个敌方部队。"
基础,achievements.xml,FirstDouble10Victory_Gold_Desc,"Win against 2 AIs on difficulty level 10 or up.","击败二个难度10的人工智能。"
基础,achievements.xml,FirstCoOpGameComplete_Desc,"Finish a game playing co-op with at least one other player.","最少与一个玩家合作完成游戏。"
基础,achievements.xml,ElectricTurtleSoup_Gold,"3. Electric Turtle Soup","3. 电动乌龟汤"
基础,achievements.xml,TechnoDancer_Silver_Desc,"Win against Technologist Raider on difficulty 7 or up.","在难度7或以上击败侵略专家。"
基础,achievements.xml,PointsOneMillion_Ingame_Silver,"1. 1,000,000 Points","1. 骑士"
基础,achievements.xml,TrainWreck_Silver_Desc,"Win against Train Master on difficulty 7 or up.","在难度7或以上击败列车大师。"
